d5,d8,d9,d10,d12
d2,d5,d8,d10,d12,d13,d14,d15,d16,d19,d21,d23,d37,d42
d2,d5,d10,d11,d12,d14
d0,d2,d4,d14,d15,d16,d19
d1,d14,d15,d16,d17,d18,d19,d23
d15,d16,d17,d19,d21,d22,d25,d26,d27
d0,d7,d10,d11,d12
d1,d3,d7,d10,d13,d15,d22,d23,d25
d0,d1,d4,d5,d6,d7,d11
d1,d2,d4,d8,d9,d17,d22,d23
d1,d4,d9,d12,d14,d16
d8,d16,d23,d24,d25,d26,d27,d28,d30,d31
d0,d1,d3,d5,d6,d14,d17
d1,d2,d4,d5,d8,d12,d14
d2,d4,d8,d11,d13,d17,d19
d0,d1,d2,d3,d4,d6,d7,d10,d12,d14,d16,d22,d25,d31,d42,d45,d52
d3,d5,d6,d9,d11,d12,d13,d15,d21
d1,d6,d7,d11,d12,d14,d21,d22
d0,d1,d2,d3,d4,d5,d6,d24
d0,d10,d13,d15,d16,d17,d18
d0,d1,d2,d3
d1,d5,d6,d7,d9,d10,d11,d14,d18,d19,d26
d0,d4,d5,d6,d8,d10,d11,d12,d13,d16,d18,d20,d21,d24,d25,d27,d37,d40
d0,d1,d2,d3,d6,d7,d9,d11
d2,d13,d14,d15,d18,d20,d21,d24
d4,d6,d7,d9,d13,d21,d22,d23
d1,d3,d5,d7,d13,d15,d22,d24
d4,d6,d8,d12,d18,d20,d23,d24
d2,d3,d4,d5
d1,d3,d5,d10,d11,d18
d2,d4,d5,d8,d17,d18,d20,d22
d1,d2,d10,d13,d15
d5,d6,d8,d9,d19,d20,d21,d23,d24,d25,d27,d30,d34,d35,d36,d41,d42,d49,d51,d52,d56,d58,d74,d75
d0,d7,d11,d13,d14,d16,d17,d21
d0,d2,d6,d8
d6,d7,d8,d9,d10,d14
d1,d2,d8,d11,d14,d15
d3,d5,d6,d8,d9,d14,d15,d17,d18,d23,d26,d27
d6,d8,d11,d12,d13,d15,d16,d18,d21,d24,d26,d33,d35,d36,d38
d0,d1,d4,d7,d8,d10
d0,d1,d6,d7
d2,d3,d7,d8,d10,d12,d13,d18,d22,d25,d29,d32
d1,d2,d3,d7
d0,d1,d2,d3,d4,d5
d0,d3,d5,d7
d0,d6,d8,d10
d2,d3,d13,d15,d16,d20,d21,d31,d32,d36,d37,d39,d41
d0,d5,d8,d11,d14,d16,d9
d0,d6,d8,d10

